win,uri,r_box,xp,tim,sp
1,1734363,1,-0.773794631,-0.053310613,0.916290732
0,1734363,6,1.530393826,1.010466914,0.810930216
0,1734363,3,-0.223540671,-0.713477038,2.197224577
0,1734363,2,0.945748994,-1.137740003,2.197224577
0,1734363,4,-0.842576376,-0.49449512,1.504077397
0,1734363,5,-0.636231141,1.388555859,1.386294361
1,1734369,4,0.783009957,-0.557151821,1.791759469
0,1734369,6,-0.369344319,-0.002733426,1.791759469
0,1734369,1,-1.211449367,-0.521112537,1.252762968
0,1734369,5,1.048937867,0.783104061,1.252762968
0,1734369,2,0.783009957,1.520149581,1.609437912
0,1734369,3,-1.034164094,-1.222255858,1.178654996
1,1734315,1,0.435967678,-1.61279065,0.916290732
0,1734315,2,1.325341741,0.881006857,2.708050201
0,1734315,3,0.776022467,0.411941912,1.609437912
0,1734315,5,-1.002725659,0.314254266,1.945910149
0,1734315,6,-0.401090264,0.825674644,2.197224577
0,1734315,4,-1.133515963,-0.82008703,1.098612289
1,1734063,1,0.297138158,-0.828975189,1.504077397
0,1734063,3,-1.290693872,-0.750515117,1.791759469
0,1734063,2,0.074284539,-0.158904652,1.504077397
0,1734063,4,-1.095696956,-0.685789677,1.945910149
0,1734063,5,1.077125821,0.814830786,1.386294361
0,1734063,6,0.93784231,1.60935385,1.32175584
1,1734065,3,-0.038130298,1.35258844,0.587786665
0,1734065,1,0.680898184,0.492421782,1.871802177
0,1734065,4,-0.724475668,-0.186447246,1.704748092
0,1734065,2,-0.822525006,-1.050916825,1.871802177
0,1734065,5,1.661391569,0.591782762,1.945910149
0,1734065,6,-0.757158781,-1.199428912,2.397895273
1,1734067,3,-0.340269029,1.521724261,1.098612289
0,1734067,4,0.025393211,-0.20515904,1.098612289
0,1734067,2,-1.071593509,-1.030787597,2.833213344
0,1734067,6,1.396626611,0.436963589,1.32175584
0,1734067,5,0.939548811,0.389504671,2.397895273
0,1734067,1,-0.949706095,-1.112245884,1.609437912
1,1734068,1,0.355319697,-0.108227285,1.609437912
0,1734068,4,-0.775242974,0.052476396,1.704748092
0,1734068,6,-0.226112534,1.109156726,1.011600912
0,1734068,5,-0.839846556,-0.662368562,1.178654996
0,1734068,3,1.841202064,1.077296599,2.197224577
0,1734068,2,-0.355319697,-1.468333874,2.197224577
1,1734070,3,0.746055479,0.752694229,1.504077397
0,1734070,6,-0.24137089,1.374082125,1.011600912
0,1734070,1,1.3385113,-0.642137897,1.252762968
0,1734070,4,-0.800912499,-1.361112489,1.609437912
0,1734070,2,0.318170719,0.307528292,1.871802177
0,1734070,5,-1.360454108,-0.431054261,2.833213344
1,1734071,6,0.03142852,1.085900692,1.791759469
0,1734071,2,-0.09428556,1.042148653,1.098612289
0,1734071,1,0.597141882,-1.554132648,1.386294361
0,1734071,3,-1.917139727,-0.389869965,1.386294361
0,1734071,5,0.659998922,-0.366324656,2.833213344
0,1734071,4,0.722855963,0.182277924,1.504077397
1,1734108,5,-0.980637775,0.945090821,1.504077397
0,1734108,1,1.26906065,0.894028,1.504077397
0,1734108,6,0.620109181,-0.575281111,1.386294361
0,1734108,2,0.706636043,-0.56912454,1.791759469
0,1734108,3,-0.4614766,0.750676425,1.178654996
0,1734108,4,-1.1536915,-1.445389595,2.079441542
1,1734111,3,-0.802824864,0.826546221,1.504077397
0,1734111,4,0.274650612,-0.195577427,1.178654996
0,1734111,1,0.823951835,-0.987592404,1.945910149
0,1734111,6,-0.507047283,1.511661551,1.386294361
0,1734111,2,-1.183110326,-0.158558895,1.504077397
0,1734111,5,1.394380028,-0.996479047,2.197224577
1,1734113,1,-0.890062055,0.721509749,1.252762968
0,1734113,4,1.493244605,-0.452244611,2.708050201
0,1734113,6,-0.051491193,-0.463413832,1.791759469
0,1734113,2,-1.243144524,-1.429298643,2.397895273
0,1734113,5,0.654673743,0.220343557,1.945910149
0,1734113,3,0.036779424,1.403103781,0.647103242
1,1734115,2,-0.31677432,1.69174986,0.693147181
0,1734115,3,0.967445897,0.546833867,1.386294361
0,1734115,5,-0.984568834,0.075579465,1.791759469
0,1734115,4,0.813339471,-0.938035464,2.564949357
0,1734115,6,-1.292781686,-0.631193024,1.609437912
0,1734115,1,0.813339471,-0.744934703,2.833213344
1,1734117,4,-0.335625112,0.358178404,2.708050201
0,1734117,6,-0.86867676,-0.445554331,1.504077397
0,1734117,5,-1.164816565,-0.060727584,1.945910149
0,1734117,3,1.559669638,0.266530785,1.791759469
0,1734117,2,0.315882458,1.455951463,0.512823626
0,1734117,1,0.493566341,-1.574378737,3.044522438
1,1734119,2,-0.378967357,1.099663997,1.704748092
0,1734119,6,0.70108961,-1.544267385,1.504077397
0,1734119,1,0.70108961,0.731360266,1.32175584
0,1734119,5,-0.606347771,-0.763519378,1.945910149
0,1734119,3,1.099005334,0.533742399,1.386294361
0,1734119,4,-1.515869426,-0.056979899,1.504077397
1,1734120,3,0.783055844,1.380773043,1.504077397
0,1734120,2,-1.142491314,-0.331984952,1.609437912
0,1734120,1,-0.295250564,1.108754966,1.386294361
0,1734120,5,-1.142491314,-0.779191613,1.386294361
0,1734120,6,1.091143389,-1.002901955,1.704748092
0,1734120,4,0.706033958,-0.375449489,1.386294361
1,1734122,3,1.846326976,1.143254169,1.609437912
0,1734122,4,0.107344592,1.10963743,1.178654996
0,1734122,5,0.075141214,-0.779686535,1.504077397
0,1734122,6,-0.890960111,-0.739481467,1.609437912
0,1734122,1,-0.311299316,0.353469927,1.609437912
0,1734122,2,-0.826553356,-1.087193524,1.704748092
1,1734123,2,-0.775093744,-1.345653114,2.397895273
0,1734123,1,1.919624694,1.22956524,0.916290732
0,1734123,4,-0.644704142,0.307129827,2.079441542
0,1734123,5,-0.210072136,0.95426333,0.963174318
0,1734123,6,-0.47085134,-0.481609552,1.704748092
0,1734123,3,0.181096669,-0.663695731,2.197224577
1,1734177,5,0.919440794,-0.256742301,2.079441542
0,1734177,2,-0.745961399,-1.810027852,2.197224577
0,1734177,4,1.439878979,0.997624434,1.386294361
0,1734177,1,-0.503090246,0.280532174,1.386294361
0,1734177,6,0.01734794,0.763748306,1.791759469
0,1734177,3,-1.127616068,0.024865239,1.011600912
1,1734185,3,0.92972064,-0.821133708,2.079441542
0,1734185,4,-0.903157193,-1.361818649,1.252762968
0,1734185,6,1.487553024,1.401629947,1.945910149
0,1734185,2,-0.265634469,0.697495843,1.386294361
0,1734185,1,-0.982847534,-0.04921573,1.386294361
0,1734185,5,-0.265634469,0.133042297,1.504077397
1,1734088,5,-1.398523273,-1.300338447,1.386294361
0,1734088,1,-0.317087616,-0.626912449,1.252762968
0,1734088,2,1.164879767,-0.444803927,1.945910149
0,1734088,6,0.223630213,1.34632568,1.252762968
0,1734088,3,1.024693663,0.948523381,1.791759469
0,1734088,4,-0.697592754,0.077205761,1.791759469
1,1734096,2,-1.007132439,0.839426253,0.810930216
0,1734096,6,-0.186506007,0.256118801,1.504077397
0,1734096,5,0.783325231,1.181961359,1.791759469
0,1734096,4,0.16163854,0.098538696,1.791759469
0,1734096,1,1.405011922,-1.198723351,2.197224577
0,1734096,3,-1.156337245,-1.177321759,1.791759469
1,1734097,6,-1.200198396,0.890573318,1.791759469
0,1734097,1,1.200198396,0.189152698,1.252762968
0,1734097,2,1.091089451,-1.265397199,1.504077397
0,1734097,3,-0.545544726,0.495368643,1.178654996
0,1734097,5,0.21821789,0.912044892,1.609437912
0,1734097,4,-0.763762616,-1.221742352,2.397895273
1,1733993,5,-1.58116752,-1.77759269,1.386294361
0,1733993,3,-0.123826372,1.067110502,1.252762968
0,1733993,1,0.419104644,-0.087563469,1.791759469
